0,0,4,"[2, 3, 4, 8, 9]",can_be_used
0,0,4,"[2, 3, 4, 8, 9]",can_be_used
0,8,4,"[2, 3, 4, 8, 9]",can_be_used
0,16,3,"[2, 3, 4, 8, 9]",can_be_used
0,24,3,"[2, 3, 4, 8, 9]",can_be_used
0,32,3,"[2, 3, 4, 8, 9]",can_be_used
0,40,8,"[2, 3, 4, 8, 9]",can_be_used
0,48,8,"[2, 3, 4, 8, 9]",can_be_used
0,56,3,"[2, 3, 4, 8, 9]",can_be_used
0,64,3,"[2, 3, 4, 8, 9]",can_be_used
0,72,2,"[2, 3, 4, 8, 9]",can_be_used
0,80,4,"[2, 3, 4, 8, 9]",need_modify
0,88,4,"[2, 3, 4, 8, 9]",can_be_used
0,96,4,"[2, 3, 4, 8, 9]",can_be_used
0,104,9,"[2, 3, 4, 8, 9]",can_be_used
0,112,3,"[2, 3, 4, 8, 9]",need_modify
0,120,3,"[2, 3, 4, 8, 9]",can_be_used
0,128,3,"[2, 3, 4, 8, 9]",can_be_used
0,136,9,"[2, 3, 4, 8, 9]",can_be_used
0,144,9,"[2, 3, 4, 8, 9]",can_be_used
0,152,3,"[2, 3, 4, 8, 9]",need_modify
0,160,3,"[2, 3, 4, 8, 9]",can_be_used
0,168,4,"[2, 3, 4, 8, 9]",need_modify
0,176,4,"[2, 3, 4, 8, 9]",need_modify
0,184,4,"[2, 3, 4, 8, 9]",need_modify
0,192,4,"[2, 3, 4, 8, 9]",can_be_used
0,200,4,"[2, 3, 4, 8, 9]",can_be_used
0,208,2,"[2, 3, 4, 8, 9]",need_modify
0,216,2,"[2, 3, 4, 8, 9]",need_modify
0,224,2,"[2, 3, 4, 8, 9]",need_modify
0,232,2,"[2, 3, 4, 8, 9]",need_modify
0,240,2,"[2, 3, 4, 8, 9]",need_modify
0,248,3,"[2, 3, 4, 8, 9]",need_modify
0,256,4,"[2, 3, 4, 8, 9]",need_modify
0,264,3,"[2, 3, 4, 8, 9]",need_modify
0,272,3,"[2, 3, 4, 8, 9]",need_modify
0,280,8,"[2, 3, 4, 8, 9]",need_modify
0,288,8,"[2, 3, 4, 8, 9]",need_modify
